rel.group,rel.area,rel.year,rel.season,program,rel.length,rec.fishery,rec.year,rec.season,rec.number
1,5,1990,3,RTTP,30,20,1991,1,1
1,5,1990,3,RTTP,32,12,1990,3,2
1,5,1990,3,RTTP,32,14,1990,4,1
1,5,1990,3,RTTP,32,26,1990,4,6
1,5,1990,3,RTTP,32,26,1991,1,2
1,5,1990,3,RTTP,34,10,1993,2,1
1,5,1990,3,RTTP,34,12,1990,3,11
1,5,1990,3,RTTP,34,12,1991,1,1
1,5,1990,3,RTTP,34,16,1990,4,1
1,5,1990,3,RTTP,34,20,1991,1,1
1,5,1990,3,RTTP,34,25,1991,1,2
1,5,1990,3,RTTP,34,26,1990,4,8
1,5,1990,3,RTTP,34,26,1991,1,1
1,5,1990,3,RTTP,36,12,1990,3,2
1,5,1990,3,RTTP,36,14,1990,3,5
1,5,1990,3,RTTP,36,25,1991,1,1
1,5,1990,3,RTTP,36,25,1991,2,2
1,5,1990,3,RTTP,36,26,1990,4,5
1,5,1990,3,RTTP,36,26,1991,1,6
1,5,1990,3,RTTP,36,26,1991,2,3
1,5,1990,3,RTTP,38,10,1991,1,1
1,5,1990,3,RTTP,38,12,1990,4,1
1,5,1990,3,RTTP,38,13,1990,4,2
1,5,1990,3,RTTP,38,13,1991,1,1
1,5,1990,3,RTTP,38,13,1991,2,1
1,5,1990,3,RTTP,38,14,1990,3,20
1,5,1990,3,RTTP,38,14,1991,3,1
1,5,1990,3,RTTP,38,15,1991,1,3
1,5,1990,3,RTTP,38,15,1991,2,2
1,5,1990,3,RTTP,38,20,1990,4,4
1,5,1990,3,RTTP,38,20,1991,2,1
1,5,1990,3,RTTP,38,25,1990,4,3
1,5,1990,3,RTTP,38,26,1990,4,26
1,5,1990,3,RTTP,38,26,1991,1,2
1,5,1990,3,RTTP,38,26,1991,2,5
1,5,1990,3,RTTP,38,26,1991,3,2
1,5,1990,3,RTTP,38,27,1990,4,1
1,5,1990,3,RTTP,40,10,1990,3,1
1,5,1990,3,RTTP,40,10,1992,3,1
1,5,1990,3,RTTP,40,12,1990,3,2
1,5,1990,3,RTTP,40,12,1990,4,1
1,5,1990,3,RTTP,40,12,1991,1,1
1,5,1990,3,RTTP,40,13,1990,4,1
1,5,1990,3,RTTP,40,14,1990,3,19
1,5,1990,3,RTTP,40,14,1990,4,1
1,5,1990,3,RTTP,40,14,1991,2,2
1,5,1990,3,RTTP,40,15,1990,3,1
1,5,1990,3,RTTP,40,15,1991,2,3
1,5,1990,3,RTTP,40,16,1990,4,2
1,5,1990,3,RTTP,40,20,1990,4,2
1,5,1990,3,RTTP,40,20,1991,1,2
1,5,1990,3,RTTP,40,20,1991,2,3
1,5,1990,3,RTTP,40,25,1990,4,1
1,5,1990,3,RTTP,40,25,1991,1,2
1,5,1990,3,RTTP,40,25,1991,2,1
1,5,1990,3,RTTP,40,26,1990,3,1
1,5,1990,3,RTTP,40,26,1990,4,19
1,5,1990,3,RTTP,40,26,1991,1,6
1,5,1990,3,RTTP,40,26,1991,2,2
1,5,1990,3,RTTP,42,10,1990,3,1
1,5,1990,3,RTTP,42,10,1990,4,1
1,5,1990,3,RTTP,42,12,1990,3,3
1,5,1990,3,RTTP,42,12,1990,4,5
1,5,1990,3,RTTP,42,12,1991,1,1
1,5,1990,3,RTTP,42,12,1991,3,1
1,5,1990,3,RTTP,42,12,1992,1,1
1,5,1990,3,RTTP,42,13,1990,4,1
1,5,1990,3,RTTP,42,14,1990,3,5
1,5,1990,3,RTTP,42,15,1991,2,2
1,5,1990,3,RTTP,42,20,1991,1,1
1,5,1990,3,RTTP,42,20,1991,2,2
1,5,1990,3,RTTP,42,20,1991,4,1
1,5,1990,3,RTTP,42,21,1991,1,1
1,5,1990,3,RTTP,42,25,1990,4,2
1,5,1990,3,RTTP,42,25,1991,1,1
1,5,1990,3,RTTP,42,26,1990,4,5
1,5,1990,3,RTTP,42,26,1991,1,1
1,5,1990,3,RTTP,42,26,1991,2,1
1,5,1990,3,RTTP,42,26,1991,4,1
1,5,1990,3,RTTP,42,29,1991,4,1
1,5,1990,3,RTTP,44,10,1990,3,2
1,5,1990,3,RTTP,44,10,1991,1,1
1,5,1990,3,RTTP,44,10,1991,2,1
1,5,1990,3,RTTP,44,12,1990,3,3
1,5,1990,3,RTTP,44,12,1990,4,5
1,5,1990,3,RTTP,44,12,1991,2,2
1,5,1990,3,RTTP,44,12,1991,3,2
1,5,1990,3,RTTP,44,14,1990,3,1
1,5,1990,3,RTTP,44,15,1990,4,1
1,5,1990,3,RTTP,44,15,1991,2,2
1,5,1990,3,RTTP,44,26,1990,4,3
1,5,1990,3,RTTP,44,26,1991,1,2
1,5,1990,3,RTTP,44,26,1991,3,2
1,5,1990,3,RTTP,44,27,1991,2,1
1,5,1990,3,RTTP,46,10,1991,1,3
1,5,1990,3,RTTP,46,12,1990,3,3
1,5,1990,3,RTTP,46,12,1990,4,3
1,5,1990,3,RTTP,46,12,1991,2,1
1,5,1990,3,RTTP,46,12,1992,1,1
1,5,1990,3,RTTP,46,14,1991,2,1
1,5,1990,3,RTTP,46,15,1991,2,2
1,5,1990,3,RTTP,46,20,1990,4,1
1,5,1990,3,RTTP,46,26,1990,4,9
1,5,1990,3,RTTP,46,26,1991,1,3
1,5,1990,3,RTTP,46,27,1991,2,1
1,5,1990,3,RTTP,48,10,1990,3,6
1,5,1990,3,RTTP,48,10,1993,3,1
1,5,1990,3,RTTP,48,12,1990,3,2
1,5,1990,3,RTTP,48,12,1990,4,5
1,5,1990,3,RTTP,48,12,1991,2,1
1,5,1990,3,RTTP,48,15,1991,2,2
1,5,1990,3,RTTP,48,20,1991,1,1
1,5,1990,3,RTTP,48,20,1991,2,1
1,5,1990,3,RTTP,48,25,1990,4,1
1,5,1990,3,RTTP,48,26,1990,4,2
1,5,1990,3,RTTP,48,26,1991,1,2
1,5,1990,3,RTTP,48,26,1991,3,1
1,5,1990,3,RTTP,50,10,1990,3,7
1,5,1990,3,RTTP,50,10,1991,1,1
1,5,1990,3,RTTP,50,12,1990,3,3
1,5,1990,3,RTTP,50,12,1990,4,5
1,5,1990,3,RTTP,50,12,1991,2,4
1,5,1990,3,RTTP,50,25,1990,4,2
1,5,1990,3,RTTP,50,26,1990,4,4
1,5,1990,3,RTTP,50,26,1991,2,2
1,5,1990,3,RTTP,50,26,1991,3,1
1,5,1990,3,RTTP,50,26,1991,4,1
1,5,1990,3,RTTP,50,30,1992,2,1
1,5,1990,3,RTTP,52,10,1990,3,6
1,5,1990,3,RTTP,52,10,1991,1,2
1,5,1990,3,RTTP,52,12,1990,3,3
1,5,1990,3,RTTP,52,12,1990,4,6
1,5,1990,3,RTTP,52,12,1991,3,1
1,5,1990,3,RTTP,52,12,1992,1,1
1,5,1990,3,RTTP,52,12,1993,1,2
1,5,1990,3,RTTP,52,14,1990,3,1
1,5,1990,3,RTTP,52,14,1990,4,1
1,5,1990,3,RTTP,52,14,1991,2,1
1,5,1990,3,RTTP,52,15,1991,1,1
1,5,1990,3,RTTP,52,20,1991,3,1
1,5,1990,3,RTTP,52,25,1990,4,3
1,5,1990,3,RTTP,52,26,1990,4,1
1,5,1990,3,RTTP,52,30,1992,3,1
1,5,1990,3,RTTP,54,10,1990,3,5
1,5,1990,3,RTTP,54,10,1990,4,2
1,5,1990,3,RTTP,54,10,1991,2,1
1,5,1990,3,RTTP,54,12,1990,3,5
1,5,1990,3,RTTP,54,12,1990,4,4
1,5,1990,3,RTTP,54,12,1991,3,1
1,5,1990,3,RTTP,54,12,1992,1,1
1,5,1990,3,RTTP,54,12,1993,4,1
1,5,1990,3,RTTP,56,10,1990,3,2
1,5,1990,3,RTTP,56,10,1991,1,1
1,5,1990,3,RTTP,56,10,1991,2,1
1,5,1990,3,RTTP,56,12,1990,3,11
1,5,1990,3,RTTP,56,12,1990,4,2
1,5,1990,3,RTTP,56,12,1991,2,1
1,5,1990,3,RTTP,56,12,1991,3,4
1,5,1990,3,RTTP,56,12,1992,1,1
1,5,1990,3,RTTP,56,12,1993,4,1
1,5,1990,3,RTTP,56,12,1994,1,1
1,5,1990,3,RTTP,58,10,1990,3,6
1,5,1990,3,RTTP,58,10,1991,3,1
1,5,1990,3,RTTP,58,10,1992,2,1
1,5,1990,3,RTTP,58,12,1990,3,8
1,5,1990,3,RTTP,58,12,1990,4,4
1,5,1990,3,RTTP,58,12,1991,1,1
1,5,1990,3,RTTP,58,12,1991,3,1
1,5,1990,3,RTTP,58,12,1992,1,1
1,5,1990,3,RTTP,60,10,1990,3,2
1,5,1990,3,RTTP,60,10,1993,3,1
1,5,1990,3,RTTP,60,12,1990,3,2
1,5,1990,3,RTTP,60,12,1990,4,1
1,5,1990,3,RTTP,60,12,1991,3,1
1,5,1990,3,RTTP,60,15,1990,3,1
1,5,1990,3,RTTP,64,10,1990,3,1
2,5,1991,1,RTTP,28,14,1991,1,1
2,5,1991,1,RTTP,28,14,1991,4,1
2,5,1991,1,RTTP,30,14,1991,1,7
2,5,1991,1,RTTP,30,14,1991,2,3
2,5,1991,1,RTTP,30,14,1991,4,2
2,5,1991,1,RTTP,32,11,1991,1,1
2,5,1991,1,RTTP,32,14,1991,1,40
2,5,1991,1,RTTP,32,14,1991,2,2
2,5,1991,1,RTTP,32,14,1991,3,3
2,5,1991,1,RTTP,32,14,1991,4,4
2,5,1991,1,RTTP,32,14,1992,2,1
2,5,1991,1,RTTP,34,14,1991,1,146
2,5,1991,1,RTTP,34,14,1991,2,20
2,5,1991,1,RTTP,34,14,1991,3,1
2,5,1991,1,RTTP,34,14,1991,4,6
2,5,1991,1,RTTP,34,14,1992,2,1
2,5,1991,1,RTTP,34,15,1992,1,1
2,5,1991,1,RTTP,36,14,1991,1,106
2,5,1991,1,RTTP,36,14,1991,2,14
2,5,1991,1,RTTP,36,14,1991,3,2
2,5,1991,1,RTTP,36,14,1991,4,6
2,5,1991,1,RTTP,36,14,1992,1,2
2,5,1991,1,RTTP,36,14,1992,3,1
2,5,1991,1,RTTP,36,26,1991,3,1
2,5,1991,1,RTTP,36,26,1992,4,1
2,5,1991,1,RTTP,38,14,1991,1,52
2,5,1991,1,RTTP,38,14,1991,2,17
2,5,1991,1,RTTP,38,14,1991,3,5
2,5,1991,1,RTTP,38,14,1991,4,12
2,5,1991,1,RTTP,38,14,1992,1,4
2,5,1991,1,RTTP,38,14,1992,3,2
2,5,1991,1,RTTP,38,14,1993,1,1
2,5,1991,1,RTTP,38,15,1992,2,2
2,5,1991,1,RTTP,38,20,1991,2,1
2,5,1991,1,RTTP,38,26,1991,3,4
2,5,1991,1,RTTP,38,26,1991,4,1
2,5,1991,1,RTTP,38,26,1992,1,1
2,5,1991,1,RTTP,38,30,1992,1,1
2,5,1991,1,RTTP,40,14,1991,1,20
2,5,1991,1,RTTP,40,14,1991,2,7
2,5,1991,1,RTTP,40,14,1991,3,1
2,5,1991,1,RTTP,40,14,1991,4,5
2,5,1991,1,RTTP,40,15,1991,2,1
2,5,1991,1,RTTP,40,26,1991,4,1
2,5,1991,1,RTTP,42,14,1991,1,8
2,5,1991,1,RTTP,42,14,1991,2,5
2,5,1991,1,RTTP,42,14,1991,4,2
2,5,1991,1,RTTP,42,14,1992,3,1
2,5,1991,1,RTTP,42,26,1991,4,1
2,5,1991,1,RTTP,44,14,1991,1,8
2,5,1991,1,RTTP,44,14,1991,2,3
2,5,1991,1,RTTP,44,14,1991,4,1
2,5,1991,1,RTTP,44,26,1992,1,1
2,5,1991,1,RTTP,46,14,1991,1,14
2,5,1991,1,RTTP,46,14,1991,2,12
2,5,1991,1,RTTP,46,14,1991,3,2
2,5,1991,1,RTTP,46,14,1991,4,3
2,5,1991,1,RTTP,46,26,1993,2,1
2,5,1991,1,RTTP,46,31,1992,1,1
2,5,1991,1,RTTP,48,13,1991,2,1
2,5,1991,1,RTTP,48,14,1991,1,10
2,5,1991,1,RTTP,48,14,1991,2,8
2,5,1991,1,RTTP,48,14,1991,3,2
2,5,1991,1,RTTP,48,14,1991,4,5
2,5,1991,1,RTTP,48,14,1992,3,1
2,5,1991,1,RTTP,48,15,1992,1,1
2,5,1991,1,RTTP,48,20,1992,1,1
2,5,1991,1,RTTP,48,26,1991,2,2
2,5,1991,1,RTTP,48,26,1991,4,2
2,5,1991,1,RTTP,50,14,1991,1,10
2,5,1991,1,RTTP,50,14,1991,2,18
2,5,1991,1,RTTP,50,14,1991,3,7
2,5,1991,1,RTTP,50,14,1991,4,3
2,5,1991,1,RTTP,50,14,1992,2,1
2,5,1991,1,RTTP,50,15,1991,2,1
2,5,1991,1,RTTP,50,20,1991,4,1
2,5,1991,1,RTTP,50,26,1991,3,1
2,5,1991,1,RTTP,52,14,1991,1,8
2,5,1991,1,RTTP,52,14,1991,2,13
2,5,1991,1,RTTP,52,14,1991,3,4
2,5,1991,1,RTTP,52,14,1991,4,2
2,5,1991,1,RTTP,52,26,1991,4,2
2,5,1991,1,RTTP,52,27,1992,3,1
2,5,1991,1,RTTP,54,14,1991,1,3
2,5,1991,1,RTTP,54,14,1991,2,5
2,5,1991,1,RTTP,54,14,1991,3,4
2,5,1991,1,RTTP,54,15,1992,3,1
2,5,1991,1,RTTP,54,26,1991,1,1
2,5,1991,1,RTTP,54,26,1991,2,1
2,5,1991,1,RTTP,54,30,1991,3,1
2,5,1991,1,RTTP,56,13,1991,2,1
2,5,1991,1,RTTP,56,14,1991,1,4
2,5,1991,1,RTTP,56,14,1991,2,16
2,5,1991,1,RTTP,56,14,1991,3,3
2,5,1991,1,RTTP,56,15,1991,2,1
2,5,1991,1,RTTP,56,26,1991,3,2
2,5,1991,1,RTTP,58,14,1991,1,6
2,5,1991,1,RTTP,58,14,1991,2,6
2,5,1991,1,RTTP,58,14,1991,3,2
2,5,1991,1,RTTP,58,26,1991,2,1
2,5,1991,1,RTTP,58,26,1991,3,1
2,5,1991,1,RTTP,58,26,1992,2,1
2,5,1991,1,RTTP,60,14,1991,1,1
2,5,1991,1,RTTP,60,14,1991,2,2
2,5,1991,1,RTTP,60,26,1993,2,1
2,5,1991,1,RTTP,62,14,1991,1,1
2,5,1991,1,RTTP,62,14,1991,2,1
2,5,1991,1,RTTP,64,14,1991,1,7
2,5,1991,1,RTTP,64,14,1991,2,1
2,5,1991,1,RTTP,66,14,1991,1,5
2,5,1991,1,RTTP,66,14,1991,2,1
2,5,1991,1,RTTP,68,14,1991,1,2
2,5,1991,1,RTTP,68,14,1991,2,2
2,5,1991,1,RTTP,68,14,1991,4,1
3,5,1991,2,RTTP,30,12,1991,2,1
3,5,1991,2,RTTP,30,12,1991,3,1
3,5,1991,2,RTTP,32,10,1991,2,3
3,5,1991,2,RTTP,32,10,1992,1,1
3,5,1991,2,RTTP,32,12,1991,2,8
3,5,1991,2,RTTP,32,12,1991,3,5
3,5,1991,2,RTTP,32,12,1991,4,2
3,5,1991,2,RTTP,32,12,1992,1,1
3,5,1991,2,RTTP,32,12,1992,2,1
3,5,1991,2,RTTP,32,12,1992,4,1
3,5,1991,2,RTTP,32,14,1991,4,2
3,5,1991,2,RTTP,32,20,1991,4,2
3,5,1991,2,RTTP,32,20,1992,2,6
3,5,1991,2,RTTP,32,26,1991,2,2
3,5,1991,2,RTTP,32,26,1991,4,2
3,5,1991,2,RTTP,34,10,1991,2,4
3,5,1991,2,RTTP,34,10,1991,3,1
3,5,1991,2,RTTP,34,10,1992,3,1
3,5,1991,2,RTTP,34,10,1993,1,1
3,5,1991,2,RTTP,34,12,1991,2,26
3,5,1991,2,RTTP,34,12,1991,3,2
3,5,1991,2,RTTP,34,12,1991,4,7
3,5,1991,2,RTTP,34,12,1992,1,3
3,5,1991,2,RTTP,34,12,1992,2,2
3,5,1991,2,RTTP,34,12,1992,3,1
3,5,1991,2,RTTP,34,12,1992,4,1
3,5,1991,2,RTTP,34,12,1993,1,1
3,5,1991,2,RTTP,34,14,1991,3,1
3,5,1991,2,RTTP,34,14,1991,4,1
3,5,1991,2,RTTP,34,15,1991,2,1
3,5,1991,2,RTTP,34,15,1991,4,1
3,5,1991,2,RTTP,34,20,1991,2,3
3,5,1991,2,RTTP,34,20,1991,4,3
3,5,1991,2,RTTP,34,20,1992,2,3
3,5,1991,2,RTTP,34,26,1991,3,1
3,5,1991,2,RTTP,34,26,1991,4,2
3,5,1991,2,RTTP,36,10,1991,2,7
3,5,1991,2,RTTP,36,10,1991,3,2
3,5,1991,2,RTTP,36,10,1991,4,1
3,5,1991,2,RTTP,36,10,1992,1,1
3,5,1991,2,RTTP,36,10,1992,2,1
3,5,1991,2,RTTP,36,10,1992,3,3
3,5,1991,2,RTTP,36,12,1991,2,16
3,5,1991,2,RTTP,36,12,1991,3,5
3,5,1991,2,RTTP,36,12,1992,1,2
3,5,1991,2,RTTP,36,12,1992,2,2
3,5,1991,2,RTTP,36,12,1992,3,1
3,5,1991,2,RTTP,36,15,1991,2,2
3,5,1991,2,RTTP,36,20,1991,3,1
3,5,1991,2,RTTP,36,20,1991,4,2
3,5,1991,2,RTTP,36,20,1992,2,5
3,5,1991,2,RTTP,36,26,1991,2,1
3,5,1991,2,RTTP,36,26,1991,3,3
3,5,1991,2,RTTP,38,10,1991,2,3
3,5,1991,2,RTTP,38,10,1991,3,3
3,5,1991,2,RTTP,38,10,1992,3,3
3,5,1991,2,RTTP,38,10,1992,4,2
3,5,1991,2,RTTP,38,10,1993,1,1
3,5,1991,2,RTTP,38,12,1991,2,9
3,5,1991,2,RTTP,38,12,1991,3,2
3,5,1991,2,RTTP,38,12,1991,4,2
3,5,1991,2,RTTP,38,12,1992,1,1
3,5,1991,2,RTTP,38,12,1992,3,2
3,5,1991,2,RTTP,38,15,1991,2,1
3,5,1991,2,RTTP,38,20,1991,2,1
3,5,1991,2,RTTP,38,20,1991,4,3
3,5,1991,2,RTTP,38,20,1992,2,1
3,5,1991,2,RTTP,38,20,1992,3,1
3,5,1991,2,RTTP,38,26,1991,2,3
3,5,1991,2,RTTP,38,26,1991,3,1
3,5,1991,2,RTTP,38,26,1991,4,2
3,5,1991,2,RTTP,40,10,1991,2,2
3,5,1991,2,RTTP,40,10,1991,3,1
3,5,1991,2,RTTP,40,10,1992,3,1
3,5,1991,2,RTTP,40,12,1991,2,5
3,5,1991,2,RTTP,40,12,1991,3,1
3,5,1991,2,RTTP,40,12,1991,4,1
3,5,1991,2,RTTP,40,12,1992,1,1
3,5,1991,2,RTTP,40,14,1991,2,2
3,5,1991,2,RTTP,40,14,1991,3,2
3,5,1991,2,RTTP,40,15,1991,2,8
3,5,1991,2,RTTP,40,15,1991,3,2
3,5,1991,2,RTTP,40,15,1992,3,1
3,5,1991,2,RTTP,40,16,1991,3,1
3,5,1991,2,RTTP,40,20,1991,3,1
3,5,1991,2,RTTP,40,26,1991,2,3
3,5,1991,2,RTTP,40,26,1991,3,15
3,5,1991,2,RTTP,40,26,1991,4,3
3,5,1991,2,RTTP,40,30,1991,3,1
3,5,1991,2,RTTP,42,10,1991,2,1
3,5,1991,2,RTTP,42,13,1991,2,1
3,5,1991,2,RTTP,42,14,1991,3,4
3,5,1991,2,RTTP,42,15,1991,2,7
3,5,1991,2,RTTP,42,20,1991,2,1
3,5,1991,2,RTTP,42,20,1991,4,1
3,5,1991,2,RTTP,42,26,1991,2,5
3,5,1991,2,RTTP,42,26,1991,3,9
3,5,1991,2,RTTP,42,26,1991,4,3
3,5,1991,2,RTTP,44,12,1991,2,1
3,5,1991,2,RTTP,44,12,1991,3,1
3,5,1991,2,RTTP,44,12,1992,3,2
3,5,1991,2,RTTP,44,15,1991,2,5
3,5,1991,2,RTTP,44,20,1991,2,1
3,5,1991,2,RTTP,44,20,1992,2,1
3,5,1991,2,RTTP,44,26,1991,2,2
3,5,1991,2,RTTP,44,26,1991,3,4
3,5,1991,2,RTTP,44,26,1991,4,4
3,5,1991,2,RTTP,44,30,1991,2,1
3,5,1991,2,RTTP,44,31,1992,4,1
3,5,1991,2,RTTP,46,10,1991,2,2
3,5,1991,2,RTTP,46,10,1992,3,1
