year,season,fishery,area,t
1972,1,1,1,549.273
1973,1,1,1,868.762
1974,1,1,1,546.633
1975,1,1,1,585.979
1976,1,1,1,460.595
1977,1,1,1,1074.16
1978,1,1,1,3641.69
1979,1,1,1,2420
1980,1,1,1,1241.64
1981,1,1,1,1278.54
1982,1,1,1,1082.74
1983,1,1,1,637.182
1984,1,1,1,527.827
1985,1,1,1,3482.04
1986,1,1,1,775.556
1987,1,1,1,1233.96
1988,1,1,1,681.621
1989,1,1,1,1814.17
1990,1,1,1,1118.05
1991,1,1,1,2062.8
1992,1,1,1,1285.72
1993,1,1,1,566.809
1994,1,1,1,347.949
1995,1,1,1,2830
1996,1,1,1,1563.55
1997,1,1,1,2262.16
1998,1,1,1,2794.37
1999,1,1,1,3350.62
2000,1,1,1,5011.02
2001,1,1,1,1952.81
2002,1,1,1,1730.4
2003,1,1,1,2620.55
2004,1,1,1,2350.51
2005,1,1,1,1990.85
2006,1,1,1,1084.85
2007,1,1,1,1218.73
2008,1,1,1,1263.34
2009,1,1,1,1154.61
2010,1,1,1,1242.83
2011,1,1,1,786.472
2012,1,1,1,1244.93
2013,1,1,1,1210.33
2014,1,1,1,736.098
2015,1,1,1,531.712
2016,1,1,1,701.809
2017,1,1,1,1139.73
2018,1,1,1,748.118
2019,1,1,1,515.013
2020,1,1,1,761.125
2021,1,1,1,2212.02
2022,1,1,1,840.517
2023,1,1,1,321.4
2024,1,1,1,321.4
1972,1,2,1,655.788
1973,1,2,1,579.243
1974,1,2,1,365.7
1975,1,2,1,106.017
1976,1,2,1,229.785
1977,1,2,1,95.736
1978,1,2,1,469.2
1979,1,2,1,50.742
1980,1,2,1,213.539
1981,1,2,1,220.944
1982,1,2,1,208.008
1983,1,2,1,178.467
1984,1,2,1,936.459
1985,1,2,1,793.5
1986,1,2,1,1115.5
1987,1,2,1,724.5
1988,1,2,1,1930.78
1989,1,2,1,908.986
1990,1,2,1,753.033
1991,1,2,1,1214.26
1992,1,2,1,369.507
1993,1,2,1,1209.44
1994,1,2,1,1033.78
1995,1,2,1,1335.51
1996,1,2,1,3.551
1997,1,2,1,533.241
1998,1,2,1,595.197
1999,1,2,1,20.988
2000,1,2,1,13.491
2001,1,2,1,675.966
2002,1,2,1,369.833
2003,1,2,1,501.633
2004,1,2,1,182.468
2005,1,2,1,108.859
2006,1,2,1,141.018
2007,1,2,1,211.255
2008,1,2,1,94.396
2009,1,2,1,140.023
2010,1,2,1,568.156
2011,1,2,1,21.977
2012,1,2,1,28.534
2013,1,2,1,20.631
2014,1,2,1,22.241
2015,1,2,1,4.627
2016,1,2,1,15.753
2017,1,2,1,118.122
2018,1,2,1,16.732
2019,1,2,1,26.416
2020,1,2,1,38.132
2021,1,2,1,100.236
2022,1,2,1,101.636
2023,1,2,1,5.204
2024,1,2,1,99.936
1972,1,3,1,0
1973,1,3,1,0
1974,1,3,1,0
1975,1,3,1,0
1976,1,3,1,0
1977,1,3,1,0
1978,1,3,1,0
1979,1,3,1,0
1980,1,3,1,0
1981,1,3,1,0
1982,1,3,1,0
1983,1,3,1,0
1984,1,3,1,0
1985,1,3,1,0
1986,1,3,1,0
1987,1,3,1,0
1988,1,3,1,0
1989,1,3,1,0
1990,1,3,1,0
1991,1,3,1,0
1992,1,3,1,0
1993,1,3,1,0
1994,1,3,1,0
1995,1,3,1,0
1996,1,3,1,0
1997,1,3,1,0
1998,1,3,1,0
1999,1,3,1,0
2000,1,3,1,0
2001,1,3,1,0
2002,1,3,1,0
2003,1,3,1,0
2004,1,3,1,0
2005,1,3,1,0
2006,1,3,1,0
2007,1,3,1,0
2008,1,3,1,0
2009,1,3,1,0
2010,1,3,1,0
2011,1,3,1,0
2012,1,3,1,0
2013,1,3,1,0
2014,1,3,1,0
2015,1,3,1,0
2016,1,3,1,0
2017,1,3,1,0
2018,1,3,1,0
2019,1,3,1,0
2020,1,3,1,0
2021,1,3,1,0
2022,1,3,1,0
2023,1,3,1,0
2024,1,3,1,0
1972,1,4,2,53
1973,1,4,2,11.2
1974,1,4,2,99.8
1975,1,4,2,0
1976,1,4,2,0
1977,1,4,2,18
1978,1,4,2,14.8
1979,1,4,2,0
1980,1,4,2,0
1981,1,4,2,0
1982,1,4,2,0
1983,1,4,2,0
1984,1,4,2,0
1985,1,4,2,0
1986,1,4,2,0
1987,1,4,2,0
1988,1,4,2,0
1989,1,4,2,0
1990,1,4,2,0
1991,1,4,2,0
1992,1,4,2,0
1993,1,4,2,22.1
1994,1,4,2,0
1995,1,4,2,0
1996,1,4,2,0
1997,1,4,2,0
1998,1,4,2,0
1999,1,4,2,0
2000,1,4,2,0
2001,1,4,2,249
2002,1,4,2,0
2003,1,4,2,0
2004,1,4,2,0
2005,1,4,2,0
2006,1,4,2,2.5
2007,1,4,2,0
2008,1,4,2,0
2009,1,4,2,12.5
2010,1,4,2,0
2011,1,4,2,0
2012,1,4,2,0
2013,1,4,2,0
2014,1,4,2,0
2015,1,4,2,0
2016,1,4,2,0
2017,1,4,2,0
2018,1,4,2,0
2019,1,4,2,0
2020,1,4,2,0
2021,1,4,2,0
