age,year,season,area,f
1,1972,1,1,0.005355707
2,1972,1,1,0.03327365
3,1972,1,1,0.03041033
4,1972,1,1,0.02166876
5,1972,1,1,0.01278958
6,1972,1,1,0.009570282
7,1972,1,1,0.008261973
8,1972,1,1,0.007675856
9,1972,1,1,0.007442403
10,1972,1,1,0.007318264
11,1972,1,1,0.00729681
12,1972,1,1,0.007311787
13,1972,1,1,0.007322886
14,1972,1,1,0.007337462
15,1972,1,1,0.007341866
16,1972,1,1,0.007369802
1,1973,1,1,0.01420648
2,1973,1,1,0.09451641
3,1973,1,1,0.0837716
4,1973,1,1,0.05933107
5,1973,1,1,0.03470239
6,1973,1,1,0.02583379
7,1973,1,1,0.02223535
8,1973,1,1,0.02062114
9,1973,1,1,0.01997205
10,1973,1,1,0.01962348
11,1973,1,1,0.0195549
12,1973,1,1,0.0195858
13,1973,1,1,0.01960967
14,1973,1,1,0.01964427
15,1973,1,1,0.01965203
16,1973,1,1,0.01972169
1,1974,1,1,0.009635522
2,1974,1,1,0.06400894
3,1974,1,1,0.05676997
4,1974,1,1,0.04021257
5,1974,1,1,0.02352484
6,1974,1,1,0.01751481
7,1974,1,1,0.01507615
8,1974,1,1,0.01398224
9,1974,1,1,0.01354245
10,1974,1,1,0.01330633
11,1974,1,1,0.01326
12,1974,1,1,0.01328109
13,1974,1,1,0.01329737
14,1974,1,1,0.0133209
15,1974,1,1,0.01332622
16,1974,1,1,0.01337354
1,1975,1,1,0.005156956
2,1975,1,1,0.03860595
3,1975,1,1,0.03254223
4,1975,1,1,0.02280983
5,1975,1,1,0.01313062
6,1975,1,1,0.00968524
7,1975,1,1,0.008291066
8,1975,1,1,0.007664249
9,1975,1,1,0.007408134
10,1975,1,1,0.007268358
11,1975,1,1,0.007235452
12,1975,1,1,0.0072406
13,1975,1,1,0.007245443
14,1975,1,1,0.007255206
15,1975,1,1,0.007255334
16,1975,1,1,0.007277569
1,1976,1,1,0.00498431
2,1976,1,1,0.03420769
3,1976,1,1,0.02991081
4,1976,1,1,0.02112625
5,1976,1,1,0.01230528
6,1976,1,1,0.009138663
7,1976,1,1,0.007854734
8,1976,1,1,0.007278437
9,1976,1,1,0.007045711
10,1976,1,1,0.006920189
11,1976,1,1,0.006894177
12,1976,1,1,0.006903538
13,1976,1,1,0.006910983
14,1976,1,1,0.006922439
15,1976,1,1,0.006924508
16,1976,1,1,0.006948205
1,1977,1,1,0.01406106
2,1977,1,1,0.1095997
3,1977,1,1,0.09088305
4,1977,1,1,0.06347809
5,1977,1,1,0.03634075
6,1977,1,1,0.02671836
7,1977,1,1,0.02282823
8,1977,1,1,0.02107791
9,1977,1,1,0.02035889
10,1977,1,1,0.01996441
11,1977,1,1,0.0198666
12,1977,1,1,0.01987452
13,1977,1,1,0.01988386
14,1977,1,1,0.01990766
15,1977,1,1,0.0199053
16,1977,1,1,0.01996284
1,1978,1,1,0.04479736
2,1978,1,1,0.3436315
3,1978,1,1,0.2867932
4,1978,1,1,0.2005937
5,1978,1,1,0.11509
6,1978,1,1,0.08472559
7,1978,1,1,0.07244543
8,1978,1,1,0.06692177
9,1978,1,1,0.0646575
10,1978,1,1,0.06341781
11,1978,1,1,0.06311654
12,1978,1,1,0.06314957
13,1978,1,1,0.06318429
14,1978,1,1,0.06326372
15,1978,1,1,0.06325965
16,1978,1,1,0.06344693
1,1979,1,1,0.02498421
2,1979,1,1,0.200189
3,1979,1,1,0.1641893
4,1979,1,1,0.114404
5,1979,1,1,0.06524827
6,1979,1,1,0.04786419
7,1979,1,1,0.04084054
8,1979,1,1,0.03767869
9,1979,1,1,0.03637513
10,1979,1,1,0.03565741
11,1979,1,1,0.03547346
12,1979,1,1,0.03547982
13,1979,1,1,0.03549158
14,1979,1,1,0.03553033
15,1979,1,1,0.03552271
16,1979,1,1,0.03562109
1,1980,1,1,0.01847134
2,1980,1,1,0.1393884
3,1980,1,1,0.1171111
4,1980,1,1,0.08202926
5,1980,1,1,0.04716931
6,1980,1,1,0.03477023
7,1980,1,1,0.02975385
8,1980,1,1,0.02749816
9,1980,1,1,0.02657551
10,1980,1,1,0.02607144
11,1980,1,1,0.02595151
12,1980,1,1,0.02596838
