year,season,fishery,ess,length,obs,pred
1972,2,1,1985,2,0,0
1972,2,1,1985,4,0,0
1972,2,1,1985,6,0,0
1972,2,1,1985,8,0,0
1972,2,1,1985,10,0,0
1972,2,1,1985,12,0,0
1972,2,1,1985,14,0,0
1972,2,1,1985,16,0,0
1972,2,1,1985,18,0,1e-04
1972,2,1,1985,20,0,2e-04
1972,2,1,1985,22,0,6e-04
1972,2,1,1985,24,0,0.0012
1972,2,1,1985,26,0,0.0024
1972,2,1,1985,28,0,0.0044
1972,2,1,1985,30,0,0.0079
1972,2,1,1985,32,0.000162604,0.0148
1972,2,1,1985,34,0,0.0289
1972,2,1,1985,36,0.00132012,0.054
1972,2,1,1985,38,0.0549793,0.0884
1972,2,1,1985,40,0.410662,0.121
1972,2,1,1985,42,0.369286,0.1401
1972,2,1,1985,44,0.117515,0.1369
1972,2,1,1985,46,0.028971,0.1149
1972,2,1,1985,48,0.0122063,0.0849
1972,2,1,1985,50,0.00310876,0.0575
1972,2,1,1985,52,0.000325208,0.0374
1972,2,1,1985,54,0.000975625,0.0248
1972,2,1,1985,56,0.000162604,0.0173
1972,2,1,1985,58,0,0.0128
1972,2,1,1985,60,0,0.0097
1972,2,1,1985,62,0.000325208,0.0074
1972,2,1,1985,64,0,0.0057
1972,2,1,1985,66,0,0.0045
1972,2,1,1985,68,0,0.0035
1972,2,1,1985,70,0,0.0027
1972,2,1,1985,72,0,0.0022
1972,2,1,1985,74,0,0.0018
1972,2,1,1985,76,0,0.0016
1972,2,1,1985,78,0,0.0014
1972,2,1,1985,80,0,0.0013
1972,2,1,1985,82,0,0.0011
1972,2,1,1985,84,0,0.0011
1972,2,1,1985,86,0,0.001
1972,2,1,1985,88,0,9e-04
1972,2,1,1985,90,0,8e-04
1972,2,1,1985,92,0,7e-04
1972,2,1,1985,94,0,6e-04
1972,2,1,1985,96,0,5e-04
1972,2,1,1985,98,0,4e-04
1972,2,1,1985,100,0,3e-04
1972,2,1,1985,102,0,2e-04
1972,2,1,1985,104,0,1e-04
1972,2,1,1985,106,0,0
1972,2,1,1985,108,0,0
1972,3,1,429.5,2,0,0
1972,3,1,429.5,4,0,0
1972,3,1,429.5,6,0,0
1972,3,1,429.5,8,0,0
1972,3,1,429.5,10,0,0
1972,3,1,429.5,12,0,0
1972,3,1,429.5,14,0,0
1972,3,1,429.5,16,0,0
1972,3,1,429.5,18,0,1e-04
1972,3,1,429.5,20,0,2e-04
1972,3,1,429.5,22,0,6e-04
1972,3,1,429.5,24,0,0.0012
1972,3,1,429.5,26,0,0.0023
1972,3,1,429.5,28,0,0.0038
