fishery,age,sel
1,1,0.1236
1,2,1
1,3,0.8169
1,4,0.5687
1,5,0.3239
1,6,0.2374
1,7,0.2025
1,8,0.1867
1,9,0.1803
1,10,0.1767
1,11,0.1757
1,12,0.1758
1,13,0.1758
1,14,0.176
1,15,0.176
1,16,0.1764
2,1,0.1992
2,2,0.9734
2,3,1
2,4,0.7278
2,5,0.4429
2,6,0.3371
2,7,0.2938
2,8,0.2745
2,9,0.2671
2,10,0.2633
2,11,0.263
2,12,0.2639
2,13,0.2646
2,14,0.2653
2,15,0.2656
2,16,0.2669
3,1,0
3,2,0
3,3,0
3,4,0.5779
3,5,0.622
3,6,0.6774
3,7,0.7355
3,8,0.7897
3,9,0.8402
3,10,0.8801
3,11,0.9142
3,12,0.9419
3,13,0.9622
3,14,0.9776
3,15,0.9891
3,16,1
4,1,0.1834
4,2,1
4,3,0.9429
4,4,0.6583
4,5,0.3845
4,6,0.2902
4,7,0.2528
4,8,0.2361
4,9,0.2294
4,10,0.2258
4,11,0.2253
4,12,0.2259
4,13,0.2262
4,14,0.2267
4,15,0.2268
4,16,0.2277
5,1,0.1531
5,2,0.5741
5,3,1
5,4,0.7711
5,5,0.4744
5,6,0.3457
5,7,0.2908
5,8,0.2657
5,9,0.2553
5,10,0.2499
5,11,0.2486
5,12,0.2489
5,13,0.2492
5,14,0.2496
5,15,0.2499
5,16,0.2511
6,1,0
6,2,0
6,3,0
6,4,0.4389
6,5,0.6
6,6,0.7293
6,7,0.8204
6,8,0.8803
6,9,0.9222
6,10,0.9473
6,11,0.9657
6,12,0.9788
6,13,0.9868
6,14,0.9922
6,15,0.9957
6,16,1
7,1,0.1593
7,2,0.7912
7,3,1
7,4,0.8882
7,5,0.6939
7,6,0.5741
7,7,0.5071
7,8,0.4685
7,9,0.4472
7,10,0.4325
7,11,0.4243
7,12,0.419
7,13,0.4151
7,14,0.4123
7,15,0.4099
7,16,0.4088
8,1,0.2375
8,2,0.6141
8,3,1
8,4,0.8667
8,5,0.643
8,6,0.5209
8,7,0.4639
8,8,0.4383
8,9,0.43
8,10,0.4268
8,11,0.4286
8,12,0.432
8,13,0.4344
8,14,0.4367
8,15,0.4383
8,16,0.4412
9,1,0
9,2,0
9,3,0
9,4,0.5718
9,5,0.8624
9,6,0.99
9,7,1
9,8,0.9631
9,9,0.9193
9,10,0.8778
9,11,0.8456
9,12,0.8209
9,13,0.8017
9,14,0.7873
9,15,0.7761
9,16,0.7686
10,1,0.2599
10,2,1
10,3,0.3708
10,4,0.2804
10,5,0.1932
10,6,0.1644
10,7,0.1539
10,8,0.1504
10,9,0.1508
10,10,0.1517
10,11,0.1536
10,12,0.1557
10,13,0.1571
