year,rec,catch,tb,sb,sbf0,dep,f
1972, 6734, 228,10005, 7196, 7598,0.95,0.02
1973,13390, 314,11601, 7632, 8043,0.95,0.03
1974, 3819, 340,14039,10259,10766,0.95,0.02
1975,10163, 268,11878, 8856, 9366,0.95,0.02
1976, 5119, 329,12036, 8993, 9478,0.95,0.03
1977, 5440, 378, 9587, 7558, 8082,0.94,0.04
1978, 8424, 422, 9452, 6523, 7092,0.92,0.04
1979, 4980, 376,10230, 7436, 8077,0.92,0.04
1980, 3133, 417, 8408, 6635, 7279,0.91,0.05
1981, 5581, 401, 7578, 5466, 6116,0.89,0.05
1982, 5970, 439, 7574, 5412, 6083,0.89,0.06
1983, 6793, 591, 8440, 5780, 6539,0.88,0.07
1984, 6292, 674, 9266, 6477, 7420,0.87,0.07
1985, 4911, 527, 8110, 6134, 7142,0.86,0.07
1986, 5473, 654, 8137, 5729, 6699,0.86,0.08
1987, 6965, 605, 7522, 5411, 6429,0.84,0.08
1988, 5387, 749, 9087, 6113, 7155,0.85,0.08
1989, 2360, 711, 7092, 5752, 6946,0.83,0.10
1990, 4276, 765, 5187, 3885, 5002,0.78,0.15
1991, 3291, 963, 4776, 3354, 4610,0.73,0.20
1992, 4675, 885, 4555, 3046, 4477,0.68,0.19
1993, 4717, 835, 5462, 3500, 5065,0.69,0.15
1994, 4812, 906, 5795, 3934, 5532,0.71,0.16
1995, 3773, 947, 5528, 3975, 5639,0.70,0.17
1996, 4966, 981, 5414, 3603, 5227,0.69,0.18
1997, 4677, 911, 5464, 3807, 5533,0.69,0.17
1998, 6704,1215, 6415, 4013, 5782,0.69,0.19
1999, 4127,1049, 6461, 4577, 6555,0.70,0.16
2000, 4912,1151, 6034, 4185, 6178,0.68,0.19
2001, 5482,1072, 5915, 4051, 6050,0.67,0.18
2002, 6964,1229, 7185, 4490, 6518,0.69,0.17
2003, 3895,1212, 6694, 4960, 7149,0.69,0.18
2004, 6404,1310, 6397, 4190, 6281,0.67,0.20
2005, 6037,1389, 6625, 4535, 6809,0.67,0.21
2006, 5793,1463, 6534, 4403, 6844,0.64,0.22
2007, 6247,1646, 7055, 4515, 7102,0.64,0.23
2008, 4410,1634, 6250, 4527, 7399,0.61,0.26
2009, 6641,1750, 5641, 3626, 6529,0.56,0.31
2010, 6561,1663, 6348, 3983, 7035,0.57,0.26
2011, 3506,1503, 5972, 4244, 7371,0.58,0.25
2012, 7274,1696, 5778, 3620, 6538,0.55,0.29
2013, 6749,1804, 6435, 4117, 7172,0.57,0.28
2014, 6309,1936, 6917, 4479, 7774,0.58,0.28
2015, 5888,1739, 7063, 4615, 7983,0.58,0.25
2016, 5037,1724, 6354, 4441, 7650,0.58,0.27
2017, 5862,1591, 5362, 3654, 6715,0.54,0.30
2018, 6673,1805, 5860, 3643, 6714,0.54,0.31
2019, 4980,1998, 6778, 4260, 7597,0.56,0.29
2020, 7437,1689, 5532, 3869, 7211,0.54,0.31
2021, 4310,1631, 6082, 3885, 7143,0.54,0.27
2022, 5896,1681, 5812, 3828, 6944,0.55,0.29
2023, 5896,1592, 6127, 3969, 6965,0.57,0.26
2024, 5896,1958, 6081, 3959, 7117,0.56,0.32
